id,height,weight,capture_rate,generation,habitat,shape,stats_hp,stats_attack,stats_defense,stats_special-attack,stats_special-defense,stats_speed,ability_1,ability_2,ability_3,name,type_1,type_2
477,22,1066,45,generation-iv,,arms,45,100,135,65,135,45,pressure,frisk,,dusknoir,ghost,
478,13,266,75,generation-iv,,arms,70,80,70,80,70,110,snow-cloak,cursed-body,,froslass,ice,ghost
479,3,3,45,generation-iv,,ball,50,50,77,95,77,91,levitate,,,rotom,electric,ghost
480,3,3,3,generation-iv,,upright,75,75,130,75,130,95,levitate,,,uxie,psychic,
481,3,3,3,generation-iv,,upright,80,105,105,105,105,80,levitate,,,mesprit,psychic,
482,3,3,3,generation-iv,,upright,75,125,70,125,70,115,levitate,,,azelf,psychic,
483,54,6830,3,generation-iv,,quadruped,100,120,120,150,100,90,pressure,telepathy,,dialga,steel,dragon
484,42,3360,3,generation-iv,,upright,90,120,100,150,120,100,pressure,telepathy,,palkia,water,dragon
485,17,4300,3,generation-iv,,quadruped,91,90,106,130,106,77,flash-fire,flame-body,,heatran,fire,steel
486,37,4200,3,generation-iv,,humanoid,110,160,110,80,110,100,slow-start,,,regigigas,normal,
487,45,7500,3,generation-iv,,tentacles,150,100,120,100,120,90,pressure,telepathy,,giratina-altered,ghost,dragon
488,15,856,3,generation-iv,,squiggle,120,70,110,75,120,85,levitate,,,cresselia,psychic,
489,4,31,30,generation-iv,,arms,80,80,80,80,80,80,hydration,,,phione,water,
490,3,14,3,generation-iv,,humanoid,100,100,100,100,100,100,hydration,,,manaphy,water,
491,15,505,3,generation-iv,,humanoid,70,90,90,135,90,125,bad-dreams,,,darkrai,dark,
492,2,21,45,generation-iv,,quadruped,100,100,100,100,100,100,natural-cure,,,shaymin-land,grass,
493,32,3200,3,generation-iv,,quadruped,120,120,120,120,120,120,multitype,,,arceus,normal,
494,4,40,3,generation-v,,humanoid,100,100,100,100,100,100,victory-star,,,victini,psychic,fire
495,6,81,45,generation-v,,upright,45,45,55,45,55,63,overgrow,contrary,,snivy,grass,
496,8,160,45,generation-v,,upright,60,60,75,60,75,83,overgrow,contrary,,servine,grass,
497,33,630,45,generation-v,,squiggle,75,75,95,75,95,113,overgrow,contrary,,serperior,grass,
498,5,99,45,generation-v,,quadruped,65,63,45,45,45,45,blaze,thick-fat,,tepig,fire,
499,10,555,45,generation-v,,upright,90,93,55,70,55,55,blaze,thick-fat,,pignite,fire,fighting
500,16,1500,45,generation-v,,upright,110,123,65,100,65,65,blaze,reckless,,emboar,fire,fighting
501,5,59,45,generation-v,,upright,55,55,45,63,45,45,torrent,shell-armor,,oshawott,water,
502,8,245,45,generation-v,,upright,75,75,60,83,60,60,torrent,shell-armor,,dewott,water,
503,15,946,45,generation-v,,quadruped,95,100,85,108,70,70,torrent,shell-armor,,samurott,water,
504,5,116,255,generation-v,,quadruped,45,55,39,35,39,42,run-away,keen-eye,analytic,patrat,normal,
505,11,270,255,generation-v,,upright,60,85,69,60,69,77,illuminate,keen-eye,analytic,watchog,normal,
506,4,41,255,generation-v,,quadruped,45,60,45,25,45,55,vital-spirit,pickup,run-away,lillipup,normal,
507,9,147,120,generation-v,,quadruped,65,80,65,35,65,60,intimidate,sand-rush,scrappy,herdier,normal,
508,12,610,45,generation-v,,quadruped,85,110,90,45,90,80,intimidate,sand-rush,scrappy,stoutland,normal,
509,4,101,255,generation-v,,quadruped,41,50,37,50,37,66,limber,unburden,prankster,purrloin,dark,
510,11,375,90,generation-v,,quadruped,64,88,50,88,50,106,limber,unburden,prankster,liepard,dark,
511,6,105,190,generation-v,,upright,50,53,48,53,48,64,gluttony,overgrow,,pansage,grass,
512,11,305,75,generation-v,,upright,75,98,63,98,63,101,gluttony,overgrow,,simisage,grass,
513,6,110,190,generation-v,,upright,50,53,48,53,48,64,gluttony,blaze,,pansear,fire,
514,10,280,75,generation-v,,upright,75,98,63,98,63,101,gluttony,blaze,,simisear,fire,
515,6,135,190,generation-v,,upright,50,53,48,53,48,64,gluttony,torrent,,panpour,water,
516,10,290,75,generation-v,,upright,75,98,63,98,63,101,gluttony,torrent,,simipour,water,
517,6,233,190,generation-v,,quadruped,76,25,45,67,55,24,forewarn,synchronize,telepathy,munna,psychic,
518,11,605,75,generation-v,,humanoid,116,55,85,107,95,29,forewarn,synchronize,telepathy,musharna,psychic,
519,3,21,255,generation-v,,wings,50,55,50,36,30,43,big-pecks,super-luck,rivalry,pidove,normal,flying
520,6,150,120,generation-v,,wings,62,77,62,50,42,65,big-pecks,super-luck,rivalry,tranquill,normal,flying
521,12,290,45,generation-v,,wings,80,115,80,65,55,93,big-pecks,super-luck,rivalry,unfezant,normal,flying
522,8,298,190,generation-v,,quadruped,45,60,32,50,32,76,lightning-rod,motor-drive,sap-sipper,blitzle,electric,
523,16,795,75,generation-v,,quadruped,75,100,63,80,63,116,lightning-rod,motor-drive,sap-sipper,zebstrika,electric,
524,4,180,255,generation-v,,legs,55,75,85,25,25,15,sturdy,weak-armor,sand-force,roggenrola,rock,
525,9,1020,120,generation-v,,tentacles,70,105,105,50,40,20,sturdy,weak-armor,sand-force,boldore,rock,
526,17,2600,45,generation-v,,tentacles,85,135,130,60,80,25,sturdy,sand-stream,sand-force,gigalith,rock,
527,4,21,190,generation-v,,wings,65,45,43,55,43,72,unaware,klutz,simple,woobat,psychic,flying
528,9,105,45,generation-v,,wings,67,57,55,77,55,114,unaware,klutz,simple,swoobat,psychic,flying
529,3,85,120,generation-v,,upright,60,85,40,30,45,68,sand-rush,sand-force,mold-breaker,drilbur,ground,
530,7,404,60,generation-v,,humanoid,110,135,60,50,65,88,sand-rush,sand-force,mold-breaker,excadrill,ground,steel
531,11,310,255,generation-v,,upright,103,60,86,60,86,50,healer,regenerator,klutz,audino,normal,
532,6,125,180,generation-v,,humanoid,75,80,55,25,35,35,guts,sheer-force,iron-fist,timburr,fighting,
533,12,400,90,generation-v,,humanoid,85,105,85,40,50,40,guts,sheer-force,iron-fist,gurdurr,fighting,
534,14,870,45,generation-v,,humanoid,105,140,95,55,65,45,guts,sheer-force,iron-fist,conkeldurr,fighting,
535,5,45,255,generation-v,,fish,50,50,40,50,40,64,swift-swim,hydration,water-absorb,tympole,water,
536,8,170,120,generation-v,,upright,75,65,55,65,55,69,swift-swim,hydration,water-absorb,palpitoad,water,ground
537,15,620,45,generation-v,,humanoid,105,95,75,85,75,74,swift-swim,poison-touch,water-absorb,seismitoad,water,ground
538,13,555,45,generation-v,,humanoid,120,100,85,30,85,45,guts,inner-focus,mold-breaker,throh,fighting,
539,14,510,45,generation-v,,humanoid,75,125,75,30,75,85,sturdy,inner-focus,mold-breaker,sawk,fighting,
540,3,25,255,generation-v,,armor,45,53,70,40,60,42,swarm,chlorophyll,overcoat,sewaddle,bug,grass
541,5,73,120,generation-v,,arms,55,63,90,50,80,42,leaf-guard,chlorophyll,overcoat,swadloon,bug,grass
542,12,205,45,generation-v,,humanoid,75,103,80,70,80,92,swarm,chlorophyll,overcoat,leavanny,bug,grass
543,4,53,255,generation-v,,armor,30,45,59,30,39,57,poison-point,swarm,speed-boost,venipede,bug,poison
544,12,585,120,generation-v,,ball,40,55,99,40,79,47,poison-point,swarm,speed-boost,whirlipede,bug,poison
545,25,2005,45,generation-v,,armor,60,100,89,55,69,112,poison-point,swarm,speed-boost,scolipede,bug,poison
546,3,6,190,generation-v,,ball,40,27,60,37,50,66,prankster,infiltrator,chlorophyll,cottonee,grass,fairy
547,7,66,75,generation-v,,humanoid,60,67,85,77,75,116,prankster,infiltrator,chlorophyll,whimsicott,grass,fairy
548,5,66,190,generation-v,,blob,45,35,50,70,50,30,chlorophyll,own-tempo,leaf-guard,petilil,grass,
549,11,163,75,generation-v,,blob,70,60,75,110,75,90,chlorophyll,own-tempo,leaf-guard,lilligant,grass,
550,10,180,25,generation-v,,fish,70,92,65,80,55,98,reckless,adaptability,mold-breaker,basculin-red-striped,water,
551,7,152,180,generation-v,,quadruped,50,72,35,35,35,65,intimidate,moxie,anger-point,sandile,ground,dark
552,10,334,90,generation-v,,quadruped,60,82,45,45,45,74,intimidate,moxie,anger-point,krokorok,ground,dark
553,15,963,45,generation-v,,upright,95,117,80,65,70,92,intimidate,moxie,anger-point,krookodile,ground,dark
554,6,375,120,generation-v,,humanoid,70,90,45,15,45,50,hustle,inner-focus,,darumaka,fire,
555,13,929,60,generation-v,,quadruped,105,140,55,30,55,95,sheer-force,zen-mode,,darmanitan-standard,fire,
556,10,280,255,generation-v,,blob,75,86,67,106,67,60,water-absorb,chlorophyll,storm-drain,maractus,grass,
557,3,145,190,generation-v,,armor,50,65,85,35,35,55,sturdy,shell-armor,weak-armor,dwebble,bug,rock
558,14,2000,75,generation-v,,armor,70,105,125,65,75,45,sturdy,shell-armor,weak-armor,crustle,bug,rock
559,6,118,180,generation-v,,upright,50,75,70,35,70,48,shed-skin,moxie,intimidate,scraggy,dark,fighting
560,11,300,90,generation-v,,upright,65,90,115,45,115,58,shed-skin,moxie,intimidate,scrafty,dark,fighting
561,14,140,45,generation-v,,wings,72,58,80,103,80,97,wonder-skin,magic-guard,tinted-lens,sigilyph,psychic,flying
562,5,15,190,generation-v,,arms,38,30,85,55,65,30,mummy,,,yamask,ghost,
563,17,765,90,generation-v,,blob,58,50,145,95,105,30,mummy,,,cofagrigus,ghost,
564,7,165,45,generation-v,,quadruped,54,78,103,53,45,22,solid-rock,sturdy,swift-swim,tirtouga,water,rock
565,12,810,45,generation-v,,upright,74,108,133,83,65,32,solid-rock,sturdy,swift-swim,carracosta,water,rock
566,5,95,45,generation-v,,wings,55,112,45,74,45,70,defeatist,,,archen,rock,flying
567,14,320,45,generation-v,,wings,75,140,65,112,65,110,defeatist,,,archeops,rock,flying
568,6,310,190,generation-v,,humanoid,50,50,62,40,62,65,stench,sticky-hold,aftermath,trubbish,poison,
569,19,1073,60,generation-v,,humanoid,80,95,82,60,82,75,stench,weak-armor,aftermath,garbodor,poison,
570,7,125,75,generation-v,,quadruped,40,65,40,80,40,65,illusion,,,zorua,dark,
571,16,811,45,generation-v,,upright,60,105,60,120,60,105,illusion,,,zoroark,dark,
572,4,58,255,generation-v,,quadruped,55,50,40,40,40,75,cute-charm,technician,skill-link,minccino,normal,
573,5,75,60,generation-v,,quadruped,75,95,60,65,60,115,cute-charm,technician,skill-link,cinccino,normal,
574,4,58,200,generation-v,,humanoid,45,30,50,55,65,45,frisk,competitive,shadow-tag,gothita,psychic,
575,7,180,100,generation-v,,humanoid,60,45,70,75,85,55,frisk,competitive,shadow-tag,gothorita,psychic,
576,15,440,50,generation-v,,humanoid,70,55,95,95,110,65,frisk,competitive,shadow-tag,gothitelle,psychic,
577,3,10,200,generation-v,,ball,45,30,40,105,50,20,overcoat,magic-guard,regenerator,solosis,psychic,
578,6,80,100,generation-v,,ball,65,40,50,125,60,30,overcoat,magic-guard,regenerator,duosion,psychic,
579,10,201,50,generation-v,,arms,110,65,75,125,85,30,overcoat,magic-guard,regenerator,reuniclus,psychic,
580,5,55,190,generation-v,,wings,62,44,50,44,50,55,keen-eye,big-pecks,hydration,ducklett,water,flying
581,13,242,45,generation-v,,wings,75,87,63,87,63,98,keen-eye,big-pecks,hydration,swanna,water,flying
582,4,57,255,generation-v,,blob,36,50,50,65,60,44,ice-body,snow-cloak,weak-armor,vanillite,ice,
583,11,410,120,generation-v,,blob,51,65,65,80,75,59,ice-body,snow-cloak,weak-armor,vanillish,ice,
584,13,575,45,generation-v,,heads,71,95,85,110,95,79,ice-body,snow-warning,weak-armor,vanilluxe,ice,
585,6,195,190,generation-v,,quadruped,60,60,50,40,50,75,chlorophyll,sap-sipper,serene-grace,deerling,normal,grass
586,19,925,75,generation-v,,quadruped,80,100,70,60,70,95,chlorophyll,sap-sipper,serene-grace,sawsbuck,normal,grass
587,4,50,200,generation-v,,quadruped,55,75,60,75,60,103,static,motor-drive,,emolga,electric,flying
588,5,59,200,generation-v,,humanoid,50,75,45,40,45,60,swarm,shed-skin,no-guard,karrablast,bug,
589,10,330,75,generation-v,,arms,70,135,105,60,105,20,swarm,shell-armor,overcoat,escavalier,bug,steel
590,2,10,190,generation-v,,arms,69,55,45,55,55,15,effect-spore,regenerator,,foongus,grass,poison
591,6,105,75,generation-v,,arms,114,85,70,85,80,30,effect-spore,regenerator,,amoonguss,grass,poison
592,12,330,190,generation-v,,tentacles,55,40,50,65,85,40,water-absorb,cursed-body,damp,frillish,water,ghost
593,22,1350,60,generation-v,,tentacles,100,60,70,85,105,60,water-absorb,cursed-body,damp,jellicent,water,ghost
594,12,316,75,generation-v,,fish,165,75,80,40,45,65,healer,hydration,regenerator,alomomola,water,
595,1,6,190,generation-v,,armor,50,47,50,57,50,65,compound-eyes,unnerve,swarm,joltik,bug,electric
596,8,143,75,generation-v,,armor,70,77,60,97,60,108,compound-eyes,unnerve,swarm,galvantula,bug,electric
597,6,188,255,generation-v,,ball,44,50,91,24,86,10,iron-barbs,,,ferroseed,grass,steel
598,10,1100,90,generation-v,,tentacles,74,94,131,54,116,20,iron-barbs,anticipation,,ferrothorn,grass,steel
599,3,210,130,generation-v,,heads,40,55,70,45,60,30,plus,minus,clear-body,klink,steel,
600,6,510,60,generation-v,,heads,60,80,95,70,85,50,plus,minus,clear-body,klang,steel,
601,6,810,30,generation-v,,heads,60,100,115,70,85,90,plus,minus,clear-body,klinklang,steel,
602,2,3,190,generation-v,,fish,35,55,40,45,40,60,levitate,,,tynamo,electric,
603,12,220,60,generation-v,,fish,65,85,70,75,70,40,levitate,,,eelektrik,electric,
604,21,805,30,generation-v,,fish,85,115,80,105,80,50,levitate,,,eelektross,electric,
605,5,90,255,generation-v,,upright,55,55,55,85,55,30,telepathy,synchronize,analytic,elgyem,psychic,
606,10,345,90,generation-v,,humanoid,75,75,75,125,95,40,telepathy,synchronize,analytic,beheeyem,psychic,
607,3,31,190,generation-v,,blob,50,30,55,65,55,20,flash-fire,flame-body,infiltrator,litwick,ghost,fire
608,6,130,90,generation-v,,arms,60,40,60,95,60,55,flash-fire,flame-body,infiltrator,lampent,ghost,fire
609,10,343,45,generation-v,,arms,60,55,90,145,90,80,flash-fire,flame-body,infiltrator,chandelure,ghost,fire
610,6,180,75,generation-v,,upright,46,87,60,30,40,57,rivalry,mold-breaker,unnerve,axew,dragon,
611,10,360,60,generation-v,,upright,66,117,70,40,50,67,rivalry,mold-breaker,unnerve,fraxure,dragon,
612,18,1055,45,generation-v,,upright,76,147,90,60,70,97,rivalry,mold-breaker,unnerve,haxorus,dragon,
613,5,85,120,generation-v,,upright,55,70,40,60,40,40,snow-cloak,slush-rush,rattled,cubchoo,ice,
614,26,2600,60,generation-v,,quadruped,95,130,80,70,80,50,snow-cloak,slush-rush,swift-swim,beartic,ice,
615,11,1480,25,generation-v,,ball,80,50,50,95,135,105,levitate,,,cryogonal,ice,
616,4,77,200,generation-v,,ball,50,40,85,40,65,25,hydration,shell-armor,overcoat,shelmet,bug,
617,8,253,75,generation-v,,arms,80,70,40,100,60,145,hydration,sticky-hold,unburden,accelgor,bug,
618,7,110,75,generation-v,,fish,109,66,84,81,99,32,static,limber,sand-veil,stunfisk,ground,electric
619,9,200,180,generation-v,,upright,45,85,50,55,50,65,inner-focus,regenerator,reckless,mienfoo,fighting,
620,14,355,45,generation-v,,upright,65,125,60,95,60,105,inner-focus,regenerator,reckless,mienshao,fighting,
621,16,1390,45,generation-v,,upright,77,120,90,60,90,48,rough-skin,sheer-force,mold-breaker,druddigon,dragon,
622,10,920,190,generation-v,,humanoid,59,74,50,35,50,35,iron-fist,klutz,no-guard,golett,ground,ghost
623,28,3300,90,generation-v,,humanoid,89,124,80,55,80,55,iron-fist,klutz,no-guard,golurk,ground,ghost
624,5,102,120,generation-v,,humanoid,45,85,70,40,40,60,defiant,inner-focus,pressure,pawniard,dark,steel
625,16,700,45,generation-v,,humanoid,65,125,100,60,70,70,defiant,inner-focus,pressure,bisharp,dark,steel
626,16,946,45,generation-v,,quadruped,95,110,95,40,95,55,reckless,sap-sipper,soundproof,bouffalant,normal,
627,5,105,190,generation-v,,wings,70,83,50,37,50,60,keen-eye,sheer-force,hustle,rufflet,normal,flying
628,15,410,60,generation-v,,wings,100,123,75,57,75,80,keen-eye,sheer-force,defiant,braviary,normal,flying
629,5,90,190,generation-v,,wings,70,55,75,45,65,60,big-pecks,overcoat,weak-armor,vullaby,dark,flying
630,12,395,60,generation-v,,wings,110,65,105,55,95,80,big-pecks,overcoat,weak-armor,mandibuzz,dark,flying
631,14,580,90,generation-v,,upright,85,97,66,105,66,65,gluttony,flash-fire,white-smoke,heatmor,fire,
632,3,330,90,generation-v,,armor,58,109,112,48,48,109,swarm,hustle,truant,durant,bug,steel
633,8,173,45,generation-v,,quadruped,52,65,50,45,50,38,hustle,,,deino,dark,dragon
634,14,500,45,generation-v,,quadruped,72,85,70,65,70,58,hustle,,,zweilous,dark,dragon
635,18,1600,45,generation-v,,upright,92,105,90,125,90,98,levitate,,,hydreigon,dark,dragon
636,11,288,45,generation-v,,armor,55,85,55,50,55,60,flame-body,swarm,,larvesta,bug,fire
637,16,460,15,generation-v,,bug-wings,85,60,65,135,105,100,flame-body,swarm,,volcarona,bug,fire
638,21,2500,3,generation-v,,quadruped,91,90,129,90,72,108,justified,,,cobalion,steel,fighting
639,19,2600,3,generation-v,,quadruped,91,129,90,72,90,108,justified,,,terrakion,rock,fighting
640,20,2000,3,generation-v,,quadruped,91,90,72,90,129,108,justified,,,virizion,grass,fighting
641,15,630,3,generation-v,,arms,79,115,70,125,80,111,prankster,defiant,,tornadus-incarnate,flying,
642,15,610,3,generation-v,,arms,79,115,70,125,80,111,prankster,defiant,,thundurus-incarnate,electric,flying
643,32,3300,3,generation-v,,wings,100,120,100,150,120,90,turboblaze,,,reshiram,dragon,fire
644,29,3450,3,generation-v,,upright,100,150,120,120,100,90,teravolt,,,zekrom,dragon,electric
645,15,680,3,generation-v,,arms,89,125,90,115,80,101,sand-force,sheer-force,,landorus-incarnate,ground,flying
646,30,3250,3,generation-v,,upright,125,130,90,130,90,95,pressure,,,kyurem,dragon,ice
647,14,485,3,generation-v,,quadruped,91,72,90,129,90,108,justified,,,keldeo-ordinary,water,fighting
648,6,65,3,generation-v,,humanoid,100,77,77,128,128,90,serene-grace,,,meloetta-aria,normal,psychic
649,15,825,3,generation-v,,humanoid,71,120,95,120,95,99,download,,,genesect,bug,steel
650,4,90,45,generation-vi,,upright,56,61,65,48,45,38,overgrow,bulletproof,,chespin,grass,
651,7,290,45,generation-vi,,upright,61,78,95,56,58,57,overgrow,bulletproof,,quilladin,grass,
652,16,900,45,generation-vi,,upright,88,107,122,74,75,64,overgrow,bulletproof,,chesnaught,grass,fighting
653,4,94,45,generation-vi,,quadruped,40,45,40,62,60,60,blaze,magician,,fennekin,fire,
654,10,145,45,generation-vi,,upright,59,59,58,90,70,73,blaze,magician,,braixen,fire,
655,15,390,45,generation-vi,,upright,75,69,72,114,100,104,blaze,magician,,delphox,fire,psychic
656,3,70,45,generation-vi,,quadruped,41,56,40,62,44,71,torrent,protean,,froakie,water,
657,6,109,45,generation-vi,,humanoid,54,63,52,83,56,97,torrent,protean,,frogadier,water,
658,15,400,45,generation-vi,,humanoid,72,95,67,103,71,122,torrent,protean,,greninja,water,dark
659,4,50,255,generation-vi,,upright,38,36,38,32,36,57,pickup,cheek-pouch,huge-power,bunnelby,normal,
660,10,424,127,generation-vi,,upright,85,56,77,50,77,78,pickup,cheek-pouch,huge-power,diggersby,normal,ground
661,3,17,255,generation-vi,,wings,45,50,43,40,38,62,big-pecks,gale-wings,,fletchling,normal,flying
662,7,160,120,generation-vi,,wings,62,73,55,56,52,84,flame-body,gale-wings,,fletchinder,fire,flying
663,12,245,45,generation-vi,,wings,78,81,71,74,69,126,flame-body,gale-wings,,talonflame,fire,flying
664,3,25,255,generation-vi,,armor,38,35,40,27,25,35,shield-dust,compound-eyes,friend-guard,scatterbug,bug,
665,3,84,120,generation-vi,,blob,45,22,60,27,30,29,shed-skin,friend-guard,,spewpa,bug,
666,12,170,45,generation-vi,,bug-wings,80,52,50,90,50,89,shield-dust,compound-eyes,friend-guard,vivillon,bug,flying
667,6,135,220,generation-vi,,quadruped,62,50,58,73,54,72,rivalry,unnerve,moxie,litleo,fire,normal
668,15,815,65,generation-vi,,quadruped,86,68,72,109,66,106,rivalry,unnerve,moxie,pyroar,fire,normal
669,1,1,225,generation-vi,,arms,44,38,39,61,79,42,flower-veil,symbiosis,,flabebe,fairy,
670,2,9,120,generation-vi,,arms,54,45,47,75,98,52,flower-veil,symbiosis,,floette,fairy,
671,11,100,45,generation-vi,,arms,78,65,68,112,154,75,flower-veil,symbiosis,,florges,fairy,
672,9,310,200,generation-vi,,quadruped,66,65,48,62,57,52,sap-sipper,grass-pelt,,skiddo,grass,
673,17,910,45,generation-vi,,quadruped,123,100,62,97,81,68,sap-sipper,grass-pelt,,gogoat,grass,
674,6,80,220,generation-vi,,upright,67,82,62,46,48,43,iron-fist,mold-breaker,scrappy,pancham,fighting,
675,21,1360,65,generation-vi,,humanoid,95,124,78,69,71,58,iron-fist,mold-breaker,scrappy,pangoro,fighting,dark
676,12,280,160,generation-vi,,quadruped,75,80,60,65,90,102,fur-coat,,,furfrou,normal,
677,3,35,190,generation-vi,,upright,62,48,54,63,60,68,keen-eye,infiltrator,own-tempo,espurr,psychic,
678,6,85,75,generation-vi,,upright,74,48,76,83,81,104,keen-eye,infiltrator,prankster,meowstic-male,psychic,
679,8,20,180,generation-vi,,blob,45,80,100,35,37,28,no-guard,,,honedge,steel,ghost
680,8,45,90,generation-vi,,heads,59,110,150,45,49,35,no-guard,,,doublade,steel,ghost
681,17,530,45,generation-vi,,blob,60,50,140,50,140,60,stance-change,,,aegislash-shield,steel,ghost
682,2,5,200,generation-vi,,arms,78,52,60,63,65,23,healer,aroma-veil,,spritzee,fairy,
683,8,155,140,generation-vi,,humanoid,101,72,72,99,89,29,healer,aroma-veil,,aromatisse,fairy,
684,4,35,200,generation-vi,,legs,62,48,66,59,57,49,sweet-veil,unburden,,swirlix,fairy,
685,8,50,140,generation-vi,,humanoid,82,80,86,85,75,72,sweet-veil,unburden,,slurpuff,fairy,
686,4,35,190,generation-vi,,tentacles,53,54,53,37,46,45,contrary,suction-cups,infiltrator,inkay,dark,psychic
687,15,470,80,generation-vi,,blob,86,92,88,68,75,73,contrary,suction-cups,infiltrator,malamar,dark,psychic
688,5,310,120,generation-vi,,heads,42,52,67,39,56,50,tough-claws,sniper,pickpocket,binacle,rock,water
689,13,960,45,generation-vi,,heads,72,105,115,54,86,68,tough-claws,sniper,pickpocket,barbaracle,rock,water
690,5,73,225,generation-vi,,blob,50,60,60,60,60,30,poison-point,poison-touch,adaptability,skrelp,poison,water
691,18,815,55,generation-vi,,blob,65,75,90,97,123,44,poison-point,poison-touch,adaptability,dragalge,poison,dragon
692,5,83,225,generation-vi,,armor,50,53,62,58,63,44,mega-launcher,,,clauncher,water,
693,13,353,55,generation-vi,,squiggle,71,73,88,120,89,59,mega-launcher,,,clawitzer,water,
694,5,60,190,generation-vi,,upright,44,38,33,61,43,70,dry-skin,sand-veil,solar-power,helioptile,electric,normal
695,10,210,75,generation-vi,,upright,62,55,52,109,94,109,dry-skin,sand-veil,solar-power,heliolisk,electric,normal
696,8,260,45,generation-vi,,upright,58,89,77,45,45,48,strong-jaw,sturdy,,tyrunt,rock,dragon
697,25,2700,45,generation-vi,,upright,82,121,119,69,59,71,strong-jaw,rock-head,,tyrantrum,rock,dragon
698,13,252,45,generation-vi,,quadruped,77,59,50,67,63,46,refrigerate,snow-warning,,amaura,rock,ice
699,27,2250,45,generation-vi,,quadruped,123,77,72,99,92,58,refrigerate,snow-warning,,aurorus,rock,ice
700,10,235,45,generation-vi,,quadruped,95,65,65,110,130,60,cute-charm,pixilate,,sylveon,fairy,
701,8,215,100,generation-vi,,humanoid,78,92,75,74,63,118,limber,unburden,mold-breaker,hawlucha,fighting,flying
702,2,22,180,generation-vi,,upright,67,58,57,81,67,101,cheek-pouch,pickup,plus,dedenne,electric,fairy
703,3,57,60,generation-vi,,ball,50,50,150,50,150,50,clear-body,sturdy,,carbink,rock,fairy
704,3,28,45,generation-vi,,squiggle,45,50,35,55,75,40,sap-sipper,hydration,gooey,goomy,dragon,
705,8,175,45,generation-vi,,squiggle,68,75,53,83,113,60,sap-sipper,hydration,gooey,sliggoo,dragon,
706,20,1505,45,generation-vi,,upright,90,100,70,110,150,80,sap-sipper,hydration,gooey,goodra,dragon,
707,2,30,75,generation-vi,,ball,57,80,91,80,87,75,prankster,magician,,klefki,steel,fairy
708,4,70,120,generation-vi,,arms,43,70,48,50,60,38,natural-cure,frisk,harvest,phantump,ghost,grass
709,15,710,60,generation-vi,,tentacles,85,110,76,65,82,56,natural-cure,frisk,harvest,trevenant,ghost,grass
710,4,50,120,generation-vi,,ball,49,66,70,44,55,51,pickup,frisk,insomnia,pumpkaboo-average,ghost,grass
711,9,125,60,generation-vi,,blob,65,90,122,58,75,84,pickup,frisk,insomnia,gourgeist-average,ghost,grass
712,10,995,190,generation-vi,,quadruped,55,69,85,32,35,28,own-tempo,ice-body,sturdy,bergmite,ice,
713,20,5050,55,generation-vi,,quadruped,95,117,184,44,46,28,own-tempo,ice-body,sturdy,avalugg,ice,
714,5,80,190,generation-vi,,wings,40,30,35,45,40,55,frisk,infiltrator,telepathy,noibat,flying,dragon
715,15,850,45,generation-vi,,wings,85,70,80,97,80,123,frisk,infiltrator,telepathy,noivern,flying,dragon
716,30,2150,45,generation-vi,,quadruped,126,131,95,131,98,99,fairy-aura,,,xerneas,fairy,
717,58,2030,45,generation-vi,,wings,126,131,95,131,98,99,dark-aura,,,yveltal,dark,flying
718,50,3050,3,generation-vi,,squiggle,108,100,121,81,95,95,aura-break,,,zygarde-50,dragon,ground
719,7,88,3,generation-vi,,arms,50,100,150,100,150,50,clear-body,,,diancie,rock,fairy
720,5,90,3,generation-vi,,arms,80,110,60,150,130,70,magician,,,hoopa,psychic,ghost
721,17,1950,3,generation-vi,,quadruped,80,110,120,130,90,70,water-absorb,,,volcanion,fire,water
722,3,15,45,generation-vii,,wings,68,55,55,50,50,42,overgrow,long-reach,,rowlet,grass,flying
723,7,160,45,generation-vii,,wings,78,75,75,70,70,52,overgrow,long-reach,,dartrix,grass,flying
724,16,366,45,generation-vii,,wings,78,107,75,100,100,70,overgrow,long-reach,,decidueye,grass,ghost
725,4,43,45,generation-vii,,quadruped,45,65,40,60,40,70,blaze,intimidate,,litten,fire,
726,7,250,45,generation-vii,,quadruped,65,85,50,80,50,90,blaze,intimidate,,torracat,fire,
727,18,830,45,generation-vii,,upright,95,115,90,80,90,60,blaze,intimidate,,incineroar,fire,dark
728,4,75,45,generation-vii,,fish,50,54,54,66,56,40,torrent,liquid-voice,,popplio,water,
729,6,175,45,generation-vii,,fish,60,69,69,91,81,50,torrent,liquid-voice,,brionne,water,
730,18,440,45,generation-vii,,fish,80,74,74,126,116,60,torrent,liquid-voice,,primarina,water,fairy
731,3,12,255,generation-vii,,wings,35,75,30,30,30,65,keen-eye,skill-link,pickup,pikipek,normal,flying
732,6,148,120,generation-vii,,wings,55,85,50,40,50,75,keen-eye,skill-link,pickup,trumbeak,normal,flying
733,11,260,45,generation-vii,,wings,80,120,75,75,75,60,keen-eye,skill-link,sheer-force,toucannon,normal,flying
734,4,60,255,generation-vii,,quadruped,48,70,30,30,30,45,stakeout,strong-jaw,adaptability,yungoos,normal,
735,7,142,127,generation-vii,,quadruped,88,110,60,55,60,45,stakeout,strong-jaw,adaptability,gumshoos,normal,
736,4,44,255,generation-vii,,armor,47,62,45,55,45,46,swarm,,,grubbin,bug,
737,5,105,120,generation-vii,,squiggle,57,82,95,55,75,36,battery,,,charjabug,bug,electric
